movie_name,ranking,score,score_num
绿里奇迹,193,8.7,103665
勇闯夺命岛,194,8.5,138663
末路狂花,195,8.7,101481
青蛇,196,8.4,213825
迁徙的鸟,197,9.1,50949
荒野生存,198,8.6,123844
哪吒闹海,199,8.8,77320
卡萨布兰卡,200,8.6,121326
终结者2：审判日,201,8.5,137067
忠犬八公物语,202,9.0,55279
这个男人来自地球,203,8.5,173482
变脸,204,8.4,208526
源代码,205,8.3,398115
燕尾蝶,206,8.6,105900
新龙门客栈,207,8.4,177315
英国病人,208,8.4,170322
黑客帝国3：矩阵革命,209,8.5,150399
黄金三镖客,210,9.1,49765
E.T. 外星人,211,8.5,148211
发条橙,212,8.4,181585
城市之光,213,9.2,42010
美国丽人,214,8.4,180135
叫我第一名,215,8.6,105839
无耻混蛋,216,8.4,217306
穆赫兰道,217,8.3,228231
非常嫌疑犯,218,8.6,112810
初恋这件小事,219,8.2,444702
模仿游戏,220,8.5,245061
勇士,221,8.9,85362
上帝也疯狂,222,8.6,93474
蓝色大门,223,8.3,267272
爱在午夜降临前,224,8.8,110794
无敌破坏王,225,8.6,178905
爱·回家,226,9.0,45935
房间,227,8.8,142473
血钻,228,8.5,126093
大卫·戈尔的一生,229,8.6,87891
国王的演讲,230,8.3,327998
枪火,231,8.6,96299
疯狂的石头,232,8.2,300959
头脑特工队,233,8.7,212118
麦兜故事,234,8.5,123838
曾经,235,8.3,197909
暖暖内含光,236,8.4,140214
千钧一发,237,8.7,81753
遗愿清单,238,8.5,122087
荒岛余生,239,8.5,128172
蝴蝶,240,8.6,93108
巴黎淘气帮,241,8.6,102315
与狼共舞,242,8.9,54570
彗星来的那一夜,243,8.4,164427
月球,244,8.5,138824
步履不停,245,8.8,63529
我爱你,246,9.0,53829
偷拐抢骗,247,8.5,112781
一个叫欧维的男人决定去死,248,8.7,104096
夜访吸血鬼,249,8.3,192260
寿司之神,250,8.8,79408
movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,905372
霸王别姬,2,9.5,652603
这个杀手不太冷,3,9.4,861555
阿甘正传,4,9.4,733085
美丽人生,5,9.5,428083
千与千寻,6,9.2,683804
辛德勒的名单,7,9.4,393734
泰坦尼克号,8,9.2,674279
盗梦空间,9,9.2,783495
机器人总动员,10,9.3,511258
海上钢琴师,11,9.2,612996
三傻大闹宝莱坞,12,9.1,693255
忠犬八公的故事,13,9.2,470546
放牛班的春天,14,9.2,465747
大话西游之大圣娶亲,15,9.2,503478
教父,16,9.2,353085
龙猫,17,9.1,429829
楚门的世界,18,9.1,470919
乱世佳人,19,9.2,277452
天堂电影院,20,9.1,316450
触不可及,21,9.1,375677
当幸福来敲门,22,8.9,553035
熔炉,23,9.2,263153
无间道,24,9.0,411585
搏击俱乐部,25,9.0,411756
十二怒汉,26,9.4,175943
星际穿越,27,9.1,499320
怦然心动,28,8.9,564170
指环王3：王者无敌,29,9.1,290899
少年派的奇幻漂流,30,9.0,591353
天空之城,31,9.0,340438
鬼子来了,32,9.2,234720
蝙蝠侠：黑暗骑士,33,9.0,329631
罗马假日,34,8.9,393803
活着,35,9.1,274649
大话西游之月光宝盒,36,8.9,406504
两杆大烟枪,37,9.0,278488
飞屋环游记,38,8.9,507040
窃听风暴,39,9.1,227779
飞越疯人院,40,9.0,282266
海豚湾,41,9.3,184359
闻香识女人,42,8.9,327519
V字仇杀队,43,8.8,424026
哈尔的移动城堡,44,8.9,355666
控方证人,45,9.6,91161
教父2,46,9.1,190094
美丽心灵,47,8.9,309318
指环王2：双塔奇兵,48,8.9,274281
死亡诗社,49,8.9,282279
指环王1：魔戒再现,50,8.9,306638
情书,51,8.8,380400
辩护人,52,9.1,208062
天使爱美丽,53,8.7,487440
美国往事,54,9.1,177287
饮食男女,55,9.0,200976
钢琴家,56,9.0,205068
疯狂动物城,57,9.2,503783
狮子王,58,8.9,284601
七宗罪,59,8.7,439742
被嫌弃的松子的一生,60,8.9,286443
致命魔术,61,8.8,347148
小鞋子,62,9.2,138310
勇敢的心,63,8.8,297615
剪刀手爱德华,64,8.7,487702
音乐之声,65,8.9,233590
低俗小说,66,8.8,337058
素媛,67,9.1,178996
本杰明·巴顿奇事,68,8.7,396166
黑客帝国,69,8.8,282711
沉默的羔羊,70,8.7,355432
入殓师,71,8.8,320428
拯救大兵瑞恩,72,8.9,238833
西西里的美丽传说,73,8.7,349896
玛丽和马克思,74,8.9,233096
蝴蝶效应,75,8.7,383447
春光乍泄,76,8.8,246758
让子弹飞,77,8.7,624424
心灵捕手,78,8.7,271353
大闹天宫,79,9.2,98744
幽灵公主,80,8.8,235172
阳光灿烂的日子,81,8.7,270577
第六感,82,8.8,235450
重庆森林,83,8.6,330126
大鱼,84,8.7,252559
射雕英雄传之东成西就,85,8.7,276194
禁闭岛,86,8.6,359164
甜蜜蜜,87,8.7,232585
阳光姐妹淘,88,8.8,268203
上帝之城,89,8.9,158154
一一,90,8.9,155899
致命ID,91,8.6,318107
狩猎,92,9.0,126903
告白,93,8.7,341962
末代皇帝,94,8.9,164332
布达佩斯大饭店,95,8.7,307309
加勒比海盗,96,8.6,342440
断背山,97,8.6,317313
爱在黎明破晓前,98,8.7,219139
摩登时代,99,9.2,87744
猫鼠游戏,100,8.7,221888
阿凡达,101,8.6,526664
哈利·波特与魔法石,102,8.7,251533
风之谷,103,8.8,175246
看不见的客人,104,8.7,256512
爱在日落黄昏时,105,8.7,197473
穿条纹睡衣的男孩,106,8.9,142287
侧耳倾听,107,8.8,166831
萤火虫之墓,108,8.7,202487
消失的爱人,109,8.7,351046
超脱,110,8.8,171193
驯龙高手,111,8.7,282042
菊次郎的夏天,112,8.7,179783
倩女幽魂,113,8.6,246907
恐怖直播,114,8.7,216077
幸福终点站,115,8.6,223499
海洋,116,9.0,98602
红辣椒,117,8.9,131282
七武士,118,9.2,76587
岁月神偷,119,8.6,304849
神偷奶爸,120,8.5,370725
借东西的小人阿莉埃蒂,121,8.7,214009
电锯惊魂,122,8.7,197079
谍影重重3,123,8.7,178936
杀人回忆,124,8.6,207375
真爱至上,125,8.5,305234
贫民窟的百万富翁,126,8.5,392901
雨人,127,8.6,208228
燃情岁月,128,8.7,147899
东邪西毒,129,8.6,246880
记忆碎片,130,8.5,276399
虎口脱险,131,8.9,106173
喜宴,132,8.8,137372
疯狂原始人,133,8.7,365660
小森林 夏秋篇,134,8.9,125740
怪兽电力公司,135,8.6,235589
喜剧之王,136,8.5,306677
卢旺达饭店,137,8.8,117605
黑天鹅,138,8.5,411892
猜火车,139,8.5,246140
穿越时空的少女,140,8.6,183145
魂断蓝桥,141,8.8,127819
恋恋笔记本,142,8.5,277123
雨中曲,143,8.9,91947
傲慢与偏见,144,8.4,296173
教父3,145,8.7,127485
完美的世界,146,9.0,78186
纵横四海,147,8.7,141313
英雄本色,148,8.6,148491
萤火之森,149,8.7,153190
玩具总动员3,150,8.8,188772
哈利·波特与死亡圣器(下),151,8.6,268065
花样年华,152,8.5,242160
7号房的礼物,153,8.7,170071
二十二,154,8.8,82899
我是山姆,155,8.8,100846
人工智能,156,8.6,186645
海边的曼彻斯特,157,8.6,163850
浪潮,158,8.7,129608
荒蛮故事,159,8.7,131611
香水,160,8.4,271210
冰川时代,161,8.4,264968
朗读者,162,8.5,274186
追随,163,8.9,80324
撞车,164,8.6,171564
小森林 冬春篇,165,8.9,107960
时空恋旅人,166,8.6,192813
唐伯虎点秋香,167,8.4,314137
罗生门,168,8.7,121857
心迷宫,169,8.6,155383
一次别离,170,8.7,129610
超能陆战队,171,8.6,357992
蝙蝠侠：黑暗骑士崛起,172,8.5,287991
战争之王,173,8.5,171461
可可西里,174,8.7,126214
梦之安魂曲,175,8.7,109550
地球上的星星,176,8.8,82019
碧海蓝天,177,8.7,106600
未麻的部屋,178,8.8,93100
爆裂鼓手,179,8.6,230480
恐怖游轮,180,8.3,312328
秒速5厘米,181,8.3,287368
谍影重重2,182,8.5,155435
阿飞正传,183,8.5,176088
达拉斯买家俱乐部,184,8.6,163467
谍影重重,185,8.5,187533
牯岭街少年杀人事件,186,8.7,103462
海盗电台,187,8.6,162698
惊魂记,188,8.9,80329
魔女宅急便,189,8.4,188626
被解救的姜戈,190,8.5,253181
再次出发之纽约遇见你,191,8.5,162142
东京物语,192,9.2,48971
绿里奇迹,193,8.7,103706
勇闯夺命岛,194,8.5,138725
末路狂花,195,8.7,101527
青蛇,196,8.4,213963
迁徙的鸟,197,9.1,50968
荒野生存,198,8.6,123888
哪吒闹海,199,8.8,77356
卡萨布兰卡,200,8.6,121361
终结者2：审判日,201,8.5,137126
忠犬八公物语,202,9.0,55321
这个男人来自地球,203,8.5,173603
变脸,204,8.4,208653
源代码,205,8.3,398261
